PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0nAHs,5r1k/1p4pp/1pn5/5r2/8/3p1N1P/PP3RP1/5RK1 b - - 1 25,c6e5 f3e5 f5f2 f1f2,697,94,80,182,advantage endgame short,https://lichess.org/wsu6Msdl/black#50,
j9A6C,r7/ppp4p/5k2/2bB1bn1/8/5P2/PPP3PP/RN2RK2 w - - 3 24,c2c3 f5d3 e1e2 a8e8 d5e4 g5e4,1940,75,82,119,crushing long middlegame pin,https://lichess.org/DRSeIE5f#47,
YTmWQ,r6k/1b5P/n2Q2B1/6p1/2pP4/1p3P2/1K6/4q3 b - - 5 38,b7f3 d6f6,956,92,96,238,endgame mate mateIn1 oneMove,https://lichess.org/Z4hV8zvb/black#76,
a44MY,r4r1k/pp5p/3p2p1/q6P/1nB5/1Pb1Q3/1PP3P1/1K1R3R w - - 0 20,b2c3 a5a2 b1c1 a2c2,1016,94,95,843,mate mateIn2 middlegame queensideAttack short,https://lichess.org/FFj72bJt#39,
T1X0z,2kr2n1/1ppqb1p1/2np4/1B3bPr/4p2p/3PBN1P/PPPQ1PK1/RN5R w - - 0 16,f3d4 f5h3 h1h3 d7g4,1846,74,87,1306,advantage middlegame sacrifice short,https://lichess.org/SKtV9AtE#31,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
NUjeR,r1b1k1r1/1p1q1pp1/4p3/1NQp3p/1P3P2/2P1P2P/1B6/2KR4 b q - 2 24,f7f5 b5c7 e8f7 c7a8,1538,76,93,1160,crushing fork master middlegame short,https://lichess.org/IT4RYkCe/black#48,
00465,3r1Q1k/pp4pp/2p5/6q1/5R2/2P5/P1P2PPP/3rR1K1 b - - 8 27,d8f8 f4f8,579,89,91,366,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/h21VtqGG/black#54,
1WcfF,r2q1rk1/pp3pp1/4p3/4nb1P/3RN2b/1BN5/PP3P2/2KQ3R b - - 1 19,d8g5 e4g5 h4g5 f2f4 g5f4 d4f4,1683,75,89,495,advantage fork long master middlegame,https://lichess.org/vOOZO98y/black#38,
ebGsY,4r1k1/pp3pp1/2p4p/2Np4/3P1bP1/3R1N1P/PPPnrP2/1K3R2 w - - 7 24,f3d2 e2e1 f1e1 e8e1,1031,77,99,1088,backRankMate mate mateIn2 middlegame short,https://lichess.org/41634XHJ#47,
nP7Mi,r1bq1bkr/pp4p1/2n5/3R2N1/5P2/1Q6/PP4PP/5K2 b - - 0 21,d8b6 d5b5 c8e6 b3e6,1339,75,96,23205,discoveredAttack discoveredCheck mate mateIn2 middlegame short,https://lichess.org/PPV5KL2D/black#42,
X3GDu,r2q1r2/pbp2ppk/1p2pb2/6N1/3P3P/8/PPP2PP1/R2QK2R b KQ - 1 13,f6g5 h4g5 h7g6 d1h5 g6f5 h5h3,2732,108,84,162,advantage discoveredAttack discoveredCheck long middlegame,https://lichess.org/P61bZiG0/black#26,Richter-Veresov_Attack Richter-Veresov_Attack_Other_variations
YqVR6,3r2k1/1pQ3p1/4p2p/pB1n1pq1/P2B2n1/8/5PPP/3R2K1 b - - 1 32,g5h4 c7g7,1068,82,92,272,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/NTJoK3aw/black#64,
sgSFC,2r3k1/1b3pp1/p2N1nn1/1p2p1Qp/4P2P/Pq1P4/1P4P1/4RR1K b - - 1 28,c8c7 f1f6 g7f6 g5h6 b3e6 d6f5 e6f5 e4f5,2171,111,84,22,crushing middlegame quietMove sacrifice veryLong,https://lichess.org/DIpyhIyl/black#56,
4WXIw,2r2rk1/1Q3R2/2p1q3/P2pN3/3P4/3nP3/3K2P1/8 b - - 5 35,e6h6 e5g4 h6g5 g4f6 g5f6 f7f6,2363,81,80,65,crushing exposedKing long middlegame,https://lichess.org/oHW3XDFj/black#70,
aD6Dc,r4rk1/2pb1pp1/p1np2qp/1p2p3/4P3/2PPP1RP/PPBN2P1/R3Q1K1 b - - 2 17,g6h5 c2d1 h5g6 g3g6,1668,75,94,7381,crushing middlegame short,https://lichess.org/lRLstbaM/black#34,Ruy_Lopez Ruy_Lopez_Other_variations
D23Vt,r2q1rk1/p1p1bppp/4p3/n1P5/3PpPb1/P3PN2/2Q1B1PP/R1B2RK1 w - - 0 15,c2e4 g4f5 e4a8 d8a8,1639,74,92,2582,crushing middlegame short,https://lichess.org/QtXvDKqm#29,Bird_Opening Bird_Opening_Dutch_Variation
sII3i,2r1r3/7p/p2R3k/1p4p1/5p1B/1BP1bP2/PP4KP/8 b - - 1 36,h6h5 b3f7 h5h4 d6h6,1576,75,97,25135,endgame fork mate mateIn2 sacrifice short,https://lichess.org/KFtSM0yW/black#72,
